Account name,Domain,From,static/dynamic link,no-follow,Phone,Email,Primary Contact,Project,Role
zielonydziennik.pl,http://www.zielonydziennik.pl/,http://www.zielonydziennik.pl/finanse/obliczanie-placenie-i-rozliczenie-zaliczek-na-podatek-pit2016,static,,,,,ART,SEO
zd24.pl,http://zd24.pl/,http://zd24.pl/gospodarka/item/4691-koszty-uzyskania-przychodow-w-pit-2016,static,Tak,,,,ART,SEO
ecoportal.com.pl,http://ecoportal.com.pl/,http://ecoportal.com.pl/eko-gospodarka-0/podatek-od-zagranicznych-zarobkow-w-pit-2016,static,,,,,ART,SEO
naszapolska.eu,http://www.naszapolska.eu/,http://www.naszapolska.eu/swiat-i-my/380-pensja-w-obcej-walucie-w-pit-2016,static,,,,,ART,SEO
wolsztynie.eu,http://www.wolsztynie.eu/,http://www.wolsztynie.eu/nasz-region/item/599-rozliczenie-roczne-pit-2016-z-dochodow-kapitalowych,static,,,,,ART,SEO
nakanapa.pl,http://nakanapa.pl,http://nakanapa.pl/styl-zycia/item/886-podatek-i-skladki-zus-od-napiwkow-w-pit-2016,-,-,-,-,-,ART,-
jobs.pl,https://www.jobs.pl/,http://www.jobs.pl/koszty-uzywania-samochodu-prywatnego-do-celow-sluzbowych-w-pit-2016,-,-,-,-,-,ART,-
obcasy.pl,http://obcasy.pl/,http://obcasy.pl/wybierz-sam-opp-i-przekaz-1-podatku-z-pit-2016/,static,,,,,ART,SEO
naszglospoznanski.pl,http://naszglospoznanski.pl/,http://naszglospoznanski.pl/warunki-zwolnienia-z-pit-2016-przy-wynajmie/,static,,,,,ART,SEO
kartuzy.info,http://kartuzy.info,"http://kartuzy.info/wiadomosc,28122,Podroze-sluzbowe-zleceniobiorcow-w-PIT-2016.html",static,,,,,ART,SEO
lca.pl,http://lca.pl/,"http://lca.pl/pogodzinach/legnica,news,61417,Nale_no_ci_z_tytu_u_podr_y_s_u_bowej_a_PIT_2016_.html",static,,,,,ART,SEO
konferencje24h.pl,http://konferencje24h.pl,"http://konferencje24h.pl/art-koszty-podrozy-sluzbowej-przedsiebiorcy-w-pit-2016,892.html",static,,,,,ART,SEO
ekspertbudowlany.pl,http://www.ekspertbudowlany.pl/,"http://www.ekspertbudowlany.pl/artykul/id4292,rozliczanie-nabytych-ulg-w-pit-2017",static,,,,,ART,SEO
ebrodnica.pl,https://www.ebrodnica.pl/,http://www.ebrodnica.pl/finanse-i-ubezpieczenia/7579-kto-rozlicza-sie-z-fiskusem-na-pit-37.html,static,,,,,ART,SEO
istotne.pljelenia-gora,http://istotne.pl/jelenia-gora,http://istotne.pl/jelenia-gora/wiadomosc/gdY/laczne-opodatkowanie-malzonkow-na-pit-37,static,,,,,ART,SEO
szczecinek.com,https://szczecinek.com/,http://temat.net/aktualnosci/26449/Wybor-sposobu-opodatkowania-przez-nierezydentow-na-druku-PIT-37,static,,,,,ART,SEO
osnews.pl,http://osnews.pl/,http://osnews.pl/odliczenia-od-podatku-w-pit-37/,static,,,,,ART,SEO
zyciepabianic.pl,http://www.zyciepabianic.pl/,http://www.zyciepabianic.pl/wydarzenia/rozne/roznosci/prawidlowe-wypelnienie-zeznania-pit-37.html#,static,,,,,ART,SEO
moja-ostroleka.pl,https://www.moja-ostroleka.pl/,http://www.moja-ostroleka.pl/art/1473492782/dochody-i-straty-ze-zrodel-przychodow-na-formularzu-pit-37,static,,,,,ART,SEO
bielsko.biala.pl,http://www.bielsko.biala.pl/,http://www.bielsko.biala.pl/firmy/porady/282/odliczenia-od-dochodu-w-pit-37,static,,,,,ART,SEO
lubiehrubie.pl,http://lubiehrubie.pl/,http://lubiehrubie.pl/wiadomosci/obliczenie-podatku-w-pit-37,static,,,,,ART,SEO
jaw.pl,http://www.jaw.pl/,http://www.jaw.pl/2016/09/zalaczniki-do-pit-37/,static,,,,,ART,SEO
e-biznes.pl,https://e-biznes.pl/,http://e-biznes.pl/sprzedaz-samochodu-rozliczamy-pit-37/,static,,,,,ART,SEO
webtree.com.pl,http://www.webtree.com.pl/,"http://www.webtree.com.pl/artykul,pit-2017-w-wersji-elektronicznej,34.html",static,,,,,ART,SEO
wywrota.pl,http://www.wywrota.pl/,http://www.wywrota.pl/obyczaje/39106-podwyzka-placy-minimalnej-w-2017-roku.html,static,,,,,ART,SEO
m-ce.pl,https://m-ce.pl/,"http://m-ce.pl/sponsorowany,co-nie-znajdzie-sie-w-pit-2017,270925,810611.html",static,,,,,ART,SEO
yellowpages.pl,https://www.yellowpages.pl/,http://www.yellowpages.pl/magazyn/inne/ostatni-pit-2017-1838.html,static,,,,,ART,SEO
e-konferencje.pl,http://www.e-konferencje.pl/,http://www.e-konferencje.pl/artykul/nowe-deklaracje-do-rozliczen-pit-2017/2216/,static,,,,,ART,SEO
moja-ostroleka.pl,https://www.moja-ostroleka.pl/,http://www.moja-ostroleka.pl/art/1475878818/pit-2017-z-kwota-wolna-od-podatku-bez-zmian,static,,,,,ART,SEO
portalmedialny.pl,http://portalmedialny.pl/,http://portalmedialny.pl/art/56582/umowa-zlecenia-emeryta-lub-rencisty-w-pit-2017.html,static,,,,,ART,SEO
slowopodlasia.pl,http://www.slowopodlasia.pl/,"http://www.slowopodlasia.pl/wiadomosci/666,zmiany-w-pit-2017-i-cit-2017-dotyczace-opodatkowan",static,,,,,ART,SEO
kataloog.info,http://kataloog.info/,"http://kataloog.info/artykul,podroz-sluzbowa-prywatnym-samochodem-pracownika-a-pit-2017,26.html",static,,,,,ART,SEO
izolacje.com.pl,http://www.izolacje.com.pl/,"http://www.izolacje.com.pl/artykul/id2180,ulga-remontowo-modernizacyjna-w-pit-2017",static,,,,,ART,SEO
franczyzawpolsce.pl,https://franczyzawpolsce.pl/,http://franczyzawpolsce.pl/aktualnosci/7120-pity-cudzoziemcow-pracujacych-w-polsce,static,,,,,ART,SEO
tp.com.pl,http://www.tp.com.pl/,http://www.tp.com.pl/finanse/pity-informacje-ogolne.html,static,,,,,ART,SEO
erodzina.com,http://www.erodzina.com/,http://www.erodzina.com/pity-osob-duchownych/,static,,,,,ART,SEO
kutno.net.pl,http://kutno.net.pl/,http://kutno.net.pl/?pd=news&id=47969,static,,,,,ART,SEO
inwestycje.pl,http://inwestycje.pl/,http://inwestycje.pl/gospodarka/Pity-cudzoziemca---pracownika;295733;0.html,static,,,,,ART,SEO
waluty.com.pl,http://waluty.com.pl/,http://waluty.com.pl/article.php?id=118182,static,,,,,ART,SEO
dziennikpolski24.pl,http://www.dziennikpolski24.pl/,"http://www.dziennikpolski24.pl/twoje-finanse/a/naleznosci-z-tytulu-podrozy-sluzbowych-w-kosztach-uzyskania-przychodu-firmy,11700437/",static,,,,,ART,SEO
expressilustrowany.pl,http://www.expressilustrowany.pl/,"http://www.expressilustrowany.pl/na-luzie/a/dzialalnosc-wykonywana-osobiscie-a-pity,11702853/",static,,,,,ART,SEO
gloswielkopolski.pl,http://www.gloswielkopolski.pl/,"http://www.gloswielkopolski.pl/twoje-finanse/a/pity-za-osobe-zmarla,11702907/",static,,,,,ART,SEO
polskatimes.pl,http://www.polskatimes.pl/,"http://www.polskatimes.pl/dodatki/rozmaitosci/a/roczne-pity-zawodowych-kierowcow,11702973/",static,,,,,ART,SEO
tuzory.pl,https://www.tuzory.pl/,"http://www.tuzory.pl/wiadomosci,rozliczenie-pit-cudzoziemca-z-dzialalnosci-wykonywanej-osobiscie-5151,wia5-3266-13594.html",static,,,,,ART,SEO
tuwodzislaw.pl,https://www.tuwodzislaw.pl/,"http://www.tuwodzislaw.pl/wiadomosci,rozliczenie-pit-bez-informacji-od-platnika,wia5-3266-14168.html",static,,,,,ART,SEO
tujastrzebie.pl,https://www.tujastrzebie.pl/,"http://www.tujastrzebie.pl/wiadomosci,jak-rozliczyc-pit-dziecka,wia5-3266-12336.html",static,,,,,ART,SEO
tyibiznes.com.pl,http://tyibiznes.com.pl/,http://tyibiznes.com.pl/2017/01/program-pit-do-rozliczen-za-2016-rok.html,static,,,,,ART,SEO
gazetawroclawska.pl,http://www.gazetawroclawska.pl/,"http://www.gazetawroclawska.pl/twoje-finanse/a/pomoc-w-rozliczeniu-z-fiskusem-program-pit,11702879/",static,,,,,ART,SEO
nowagazeta.pl,http://nowagazeta.pl/,http://nowagazeta.pl/2016/10/dochod-i-strata-z-jednego-zrodla-przychodow/,static,,,,,ART,SEO
female.pl,https://www.female.pl/,http://www.female.pl/artykul/17582-wspolne-rozliczenie-pit-z-niepracujacym-malzonkiem,static,,,,,ART,SEO
3obieg.pl,http://3obieg.pl/,http://3obieg.pl/rozliczenie-podatkowe-na-preferencyjnych-warunkach-z-programem-pit,static,,,,,ART,SEO
gazetabudowa.pl,http://www.gazetabudowa.pl/,http://www.gazetabudowa.pl/program-pit-dla-platnikow/,static,,,,,ART,SEO
biznesgazeta.pl,http://www.biznesgazeta.pl/,http://www.biznesgazeta.pl/program-pit-zalaczniki-deklaracji-podatkowych/,static,,,,,ART,SEO
o.pl,http://o.pl/,http://news.o.pl/2016/10/11/pitax-program-pit/#/,static,,,,,ART,SEO
nf.pl,http://nf.pl/,"http://nf.pl/manager/jak-wyslac-informacje-ift-przez-program-pit,,55897,233",static,,,,,ART,SEO
dziennikwschodni.pl,http://www.dziennikwschodni.pl/,"http://www.dziennikwschodni.pl/artykuly-sponsorowane/asystent-podatnika-w-programie-pit,n,1000187992.html",static,,,,,ART,SEO
rynekinstalacyjny.pl,http://www.rynekinstalacyjny.pl/,"http://www.rynekinstalacyjny.pl/artykul/id4151,ulgi-mieszkaniowe-w-rozliczeniu-pit-2017",static,,,,,ART,SEO
special-ops.pl,http://www.special-ops.pl/,"http://www.special-ops.pl/artykul/id777,roczne-deklaracje-podatkowe-zolnierzy",static,,,,,ART,SEO
ksiegowosc.org,http://www.ksiegowosc.org/,"http://www.ksiegowosc.org/artykuly,69622,1,Pity__z_przychodow_nieobjetych_obowiazkiem_odprowadzania_zaliczek_na_podatek",static,,,,,ART,SEO
rachunkowosc.org,http://www.rachunkowosc.org/,"http://www.rachunkowosc.org/artykuly,69623,1,Terminy_zaliczek_od_wynagrodzenia_pracownika",static,,,,,ART,SEO
finanseosobiste.pl,http://www.finanseosobiste.pl/,http://www.finanseosobiste.pl/artykuly/zasady-odliczania-skladki-zdrowotnej-w-pitach-2016.html,static,,,,,ART,SEO
elblag.net,http://www.elblag.net/,"http://www.elblag.net/artykuly/stawka-za-godzine-zlecenia-oraz-w-ramach-samozatru,26631.htm",static,,,,,ART,SEO
nowiny.pl,https://www.nowiny.pl/,http://www.nowiny.pl/biznes/120768-zaliczki-na-pity-2016-odprowadzane-przez-platnika-i-przedsiebiorce.html,static,,,,,ART,SEO
rybnik.com.pl,https://www.rybnik.com.pl/,"http://www.rybnik.com.pl/wiadomosci,pity-2016-obowiazujace-pracodawcow-i-innych-platnikow,wia5-3273-32214.html",static,,,,,ART,SEO
magazynfakty.pl,http://magazynfakty.pl/,http://magazynfakty.pl/pity-2016-dzialalnosci-gospodarczej/,static,,,,,ART,SEO
elektro.info.pl,http://www.elektro.info.pl/,"http://www.elektro.info.pl/artykul/id6574,odliczenie-w-pit-2016-kosztow-wymiany-instalacji-elektrycznej",static,,,,,ART,SEO
darlowo.info,http://www.darlowo.info,http://www.darlowo.info/index.php/83-biznes/5375-podpis-pod-deklaracja-pit-online,static,,,,,ART,SEO
kreatywna.pl,http://www.kreatywna.pl/,http://www.kreatywna.pl/biznes/deklaracje-pit-online-platnika/,static,,,,,ART,SEO
iap.pl,http://www.iap.pl,http://www.iap.pl/?id=wiadomosci&nrwiad=944392,static,,,,,ART,SEO
naszekielce.com,http://www.naszekielce.com/,http://www.naszekielce.com/?q=terminy_sk%C5%82adania_pit_online,static,,,,,ART,SEO
wynajem.pl,http://wynajem.pl/,http://wynajem.pl/nieruchomosci/aktualnosci/news_acdc_deklaracje-pit-online-podpisywan.html,static,,,,,ART,SEO
pracodawca.com,http://pracodawca.com/,http://pracodawca.com/index.php?strona=news&idn=151,static,,,,,ART,SEO
dziennikzachodni.pl,http://www.dziennikzachodni.pl/,"http://www.dziennikzachodni.pl/pieniadze/a/terminy-skladania-pit-online-przez-osoby-fizyczne-w-2017-roku,11700453/",static,,,,,ART,SEO
to.com.pl,http://www.to.com.pl/,"http://www.to.com.pl/styl-zycia/a/pit-online-wysylany-z-zagranicy,11703049/",static,,,,,ART,SEO
pomorska.pl,http://www.pomorska.pl/,"http://www.pomorska.pl/twoje-finanse/a/korekta-deklaracji-pit-online,11703043/",static,,,,,ART,SEO
echodnia.eu,http://www.echodnia.eu/,"http://www.echodnia.eu/swietokrzyskie/twoje-finanse/a/deklaracje-podatkowe-przez-internet-pit-online,11700461/",static,,,,,ART,SEO
fundusze24.pl,http://www.fundusze24.pl/,http://www.fundusze24.pl/aktualnosci/pokaz/id_296905/,static,,,,,ART,SEO
forum-prawne.pl,http://forum-prawne.pl,http://forum-prawne.pl/viewtopic.php?f=8&t=17626,static,,,,,ART,SEO
pulsinwestycji.pl,http://www.pulsinwestycji.pl/,http://www.pulsinwestycji.pl/oplaty-skarbowe-kosztach-firmowych-pit-36/,static,,,,,ART,SEO
gazetawielkopolska.pl,http://www.gazetawielkopolska.pl/,http://www.gazetawielkopolska.pl/deklaracji-pit-36-nalezy-wykazac-dotacje-urzedu-pracy/,static,,,,,ART,SEO
gazetapolityka.pl,http://www.gazetapolityka.pl/,http://www.gazetapolityka.pl/zwrot-nadplaty-podatku-korekcie-pit-36/,static,,,,,ART,SEO
motofakty.pl,https://www.motofakty.pl/,http://www.motofakty.pl/artykul/rozliczenie-w-pit-36-kosztow-korzystania-z-samochodu-zastepczego.html,static,,,,,ART,SEO
forum-firm.pl,http://www.forum-firm.pl/,http://www.forum-firm.pl/wiadomosci/dbev/kiedy-emeryt-wypelnia-pit-36.html,static,,,,,ART,SEO
gs24.pl,http://www.gs24.pl/,"http://www.gs24.pl/twoje-finanse/a/wlasciwe-wersje-formularzy-pit36,11702955/",static,,,,,ART,SEO
kurierlubelski.pl,http://www.kurierlubelski.pl/,"http://www.kurierlubelski.pl/twoje-finanse/a/dochody-zagraniczne-w-zeznaniu-pit36,11702959/",static,,,,,ART,SEO
dziennikbaltycki.pl,http://www.dziennikbaltycki.pl/,"http://www.dziennikbaltycki.pl/twoje-finanse/a/ustalenie-wartosci-dochodu-zagranicznego,11700319/",static,,,,,ART,SEO
sercedlazwierzat.pl,http://www.sercedlazwierzat.pl/,http://www.sercedlazwierzat.pl/2017/01/organizacje-pozytku-publicznego-opp-licza-na-pomoc-zwierzetom/,static,,,,,ART,SEO
koty.pl,https://www.koty.pl/,"http://www.koty.pl/rozrywka/art52,opp-zbieraja-1-na-pomoc-zwierzetom.html
",static,,,,,ART,SEO
wspolczesna.pl,http://www.wspolczesna.pl/,"http://www.wspolczesna.pl/prawo/a/rozliczenie-dochodow-nierezydenta-z-najmu-mieszkania-opodatkowanych-ryczaltem,11544052/",-,-,-,-,-,ART,-
poranny.pl,http://www.poranny.pl/,"http://www.poranny.pl/poranny24/a/kiedy-w-deklaracji-pit28-wpisujemy-pesel-a-kiedy-nip,11544062/",-,-,-,-,-,ART,-
nto.pl,http://www.nto.pl/,"http://www.nto.pl/twoje-finanse/a/pit28-z-dzialalnosci-gospodarczej,11544000/",-,-,-,-,-,ART,-
gazetalubuska.pl,http://www.gazetalubuska.pl/,"http://www.gazetalubuska.pl/twoje-finanse/a/zalaczniki-do-pit28,11543876/",-,-,-,-,-,ART,-
nowiny24.pl,http://www.nowiny24.pl/,"http://www.nowiny24.pl/twoje-finanse/a/jak-rozliczyc-pit28-za-rok-podatkowy,11543890/",-,-,-,-,-,ART,-
gazetapodatkowa.net,http://www.gazetapodatkowa.net/,http://www.gazetapodatkowa.net/odliczenia-deklaracji-pit-28/,static,,,,,ART,SEO
gazetalifestyle.pl,http://www.gazetalifestyle.pl/,http://www.gazetalifestyle.pl/stawki-ryczaltu-pit-28/,static,,,,,ART,SEO
gazetamarketingowa.pl,http://www.gazetamarketingowa.pl/,http://www.gazetamarketingowa.pl/rozliczenie-pit-28-online/,static,,,,,ART,SEO
gazetainwestycyjna.pl,http://www.gazetainwestycyjna.pl/,http://www.gazetainwestycyjna.pl/przedsiebiorca-moze-rozliczac-podatek-ryczaltem-przychodow-ewidencjonowanych-pit-28/,static,,,,,ART,SEO
gazetafinansowa.net,http://www.gazetafinansowa.net/,http://www.gazetafinansowa.net/przedsiebiorca-moze-korzystac-rozliczenia-ryczaltem-pit-28/,static,,,,,ART,SEO
lm.pl,https://www.lm.pl/,https://www.lm.pl/aktualnosci/informacja/107377/rozliczenie_pit_28_w_2017_roku,static,,,,,ART,SEO
bydgoszcz.com,https://www.bydgoszcz.com/,"https://www.bydgoszcz.com/wiadomosci/408,korekta-deklaracji-pit-28-2016",static,,,,,ART,SEO
Nieznaleziona,Nieznaleziona,"http://www.ekutno.pl/wiadomosci,31843-jak-rozliczy-pit-emeryta-rencisty",-,-,-,-,-,ART,-
zabrze.com.pl,https://zabrze.com.pl/,"http://zabrze.com.pl/sponsorowany,jak-rozliczyc-pit-40a,270925,889290.html",static,,,,,ART,SEO
telewizja.lukow.pl,http://telewizja.lukow.pl/,http://telewizja.lukow.pl/8171/8171/,static,,,,,ART,SEO
nieruchomosci.biz,http://www.nieruchomosci.biz/,"http://www.nieruchomosci.biz/artykuly,70529,1,Jak_rozliczyc_pit_z_zagranicznej_dzialalnosci_gospodarczej_na_ryczalcie",static,,,,,ART,SEO
gazetaprawo.net,http://www.gazetaprawo.net/,http://www.gazetaprawo.net/rozliczyc-pit-najmu-nieruchomosci-polozonej-granica/,static,,,,,ART,SEO
gazetapraca.biz,http://www.gazetapraca.biz/,http://www.gazetapraca.biz/rozliczyc-pit-ze-zbycia-nieruchomosci-granica/,static,,,,,ART,SEO
dzienniklodzki.pl,http://www.dzienniklodzki.pl/,"http://www.dzienniklodzki.pl/rozmaitosci/a/jak-rozliczyc-pit-wspolnie-z-niepracujacym-malzonkiem,11700335/",static,,,,,ART,SEO
olsztyn.com.pl,http://www.olsztyn.com.pl/,"http://www.olsztyn.com.pl/artykul,jak-rozliczyc-pit-z-dochodami-maloletniego-dziecka,22378.html",static,,,,,ART,SEO
Nieznaleziona,Nieznaleziona,http://finanse.businesstimes.pl/rozliczyc-pit-dzialalnosci-gospodarczej-prowadzonej-granica-opodatkowanej-wedlug-skali/,-,-,-,-,-,ART,-
gloswroclawia.pl,http://www.gloswroclawia.pl/,http://www.gloswroclawia.pl/rozliczyc-pit-zagranicznej-dzialalnosci-gospodarczej-opodatkowanej-podatkiem-liniowym/,static,,,,,ART,SEO
administrator24.info,http://www.administrator24.info/,"http://www.administrator24.info/artykul/id9373,jak-rozliczyc-pit-od-dochodu-z-odplatnego-zbycia-nieruchomosci",static,,,,,ART,SEO
psy.pl,https://www.psy.pl/,https://www.psy.pl/1-podatku-pomoc-dla-zwierzat/,static,Tak,,,,ART,SEO
augustow24.pl,http://augustow24.pl/,http://augustow24.pl/info/najwczesniej-skladane-deklaracje-pit--.16031.html,static,,,,,ART,SEO
24gliwice.pl,http://www.24gliwice.pl,http://www.24gliwice.pl/wiadomosci/ryczaltowcy-rozliczaja-pit-28/,static,,,,,ART,SEO
