Account Name,Domain,From,To,Role,static/dynamic link,no-follow,Phone,Email,Primary Contact,Project
Caritas Archidiecezji Wrocławskiej ,http://www.wroclaw.caritas.pl,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.pitax.pl/krs/formularze/0000219742/,OTH,static,,71 327 13 00,wroclaw@caritas.pl,Paweł Trawka,OPP
Caritas Archidiecezji Wrocławskiej ,http://www.wroclaw.caritas.pl,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.iwop.pl/,SEO2 ,static,,71 327 13 00,wroclaw@caritas.pl,Paweł Trawka,OPP
Caritas Archidiecezji Wrocławskiej ,http://www.wroclaw.caritas.pl,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.pitax.pl/,SEO,static,,71 327 13 00,wroclaw@caritas.pl,Paweł Trawka,OPP
Caritas Diecezji Gliwickiej,http://www.caritas.gliwice.pl,http://caritasgliwice.pl/,https://www.pitax.pl/,SEO,static,,32 230 78 70,caritas@kuria.gliwice.pl,,OPP
Caritas Diecezji Gliwickiej,http://www.caritas.gliwice.pl,http://caritasgliwice.pl/,https://www.pitax.pl/rozlicz/0000247809/,ONL,static,,32 230 78 70,caritas@kuria.gliwice.pl,,OPP
Caritas Diecezji Gliwickiej,http://www.caritas.gliwice.pl,http://caritasgliwice.pl/,https://www.pitax.pl/pobierz/0000247809/,WIN,static,,32 230 78 70,caritas@kuria.gliwice.pl,,OPP
Caritas Diecezji Sandomierskiej,http://www.sandomierz.caritas.pl,http://www.sandomierz.caritas.pl/,https://www.iwop.pl/,SEO2,static,,15 644 55 86 ,sandomierz@caritas.pl,,OPP
Caritas Diecezji Sandomierskiej,http://www.sandomierz.caritas.pl,http://www.sandomierz.caritas.pl/,https://www.pitax.pl/,SEO,static,,15 644 55 86 ,sandomierz@caritas.pl,,OPP
Caritas Diecezji Sandomierskiej,http://www.sandomierz.caritas.pl,http://www.sandomierz.caritas.pl/1-podatku/mozesz-pomoc1-podatku/,https://www.pitax.pl/krs/0000213751,LP,static,,15 644 55 86 ,sandomierz@caritas.pl,,OPP
Caritas Diecezji Sandomierskiej,http://www.sandomierz.caritas.pl,http://www.sandomierz.caritas.pl/1-podatku/mozesz-pomoc1-podatku/,http://www.pitax.pl/krs/formularze/0000213751/,OTH,static,,15 644 55 86 ,sandomierz@caritas.pl,,OPP
Centrum Rozwoju Lokalnego,http://www.crl.org.pl,http://crl.org.pl/kategorie/1-procent,https://www.pitax.pl/rozlicz/0000332814/?cel=centrumrozwoju,ONL,static,,32 494 13 19,crl@crl.org.pl,,OPP
Centrum Rozwoju Lokalnego,http://www.crl.org.pl,http://crl.org.pl/kategorie/1-procent,https://www.pitax.pl/rozlicz/0000332814/?cel=centrumrozwoju,ONL,static,,32 494 13 19,crl@crl.org.pl,,OPP
Centrum Rozwoju Lokalnego,http://www.crl.org.pl,http://crl.org.pl/kategorie/1-procent,https://www.iwop.pl/,SEO2,static,,32 494 13 19,crl@crl.org.pl,,OPP
Centrum Rozwoju Lokalnego,http://www.crl.org.pl,http://crl.org.pl/kategorie/1-procent,https://www.pitax.pl/,SEO,static,,32 494 13 19,crl@crl.org.pl,,OPP
"Bielskie Stowarzyszenie Wspierania Edukacji i Rodziny ""Światło",http://szkolaskala.edu.pl/,http://szkolaskala.edu.pl/,https://www.pitax.pl/krs/0000361743/,LP,static,,570 550 112,info@szkolaskala.edu.pl,Marek Gibas,OPP
"Bielskie Stowarzyszenie Wspierania Edukacji i Rodziny ""Światło",http://szkolaskala.edu.pl/,http://szkolaskala.edu.pl/,https://www.pitax.pl/krs/0000361743/,LP,static,,570 550 112,info@szkolaskala.edu.pl,Marek Gibas,OPP
"Bielskie Stowarzyszenie Wspierania Edukacji i Rodziny ""Światło",http://szkolaskala.edu.pl/,http://szkolaskala.edu.pl/,"""https://www.pitax.pl/",SEO,static,,570 550 112,info@szkolaskala.edu.pl,Marek Gibas,OPP
"Bielskie Stowarzyszenie Wspierania Edukacji i Rodziny ""Światło",http://szkolaskala.edu.pl/,http://szkolaskala.edu.pl/,https://www.iwop.pl/,SEO2,static,,570 550 112,info@szkolaskala.edu.pl,Marek Gibas,OPP
Centrum Rozwoju Lokalnego,http://www.crl.org.pl,http://www.crl.org.pl,https://www.pitax.pl/rozlicz/0000332814/?cel=centrumrozwoju,ONL,static,,32 494 13 19,crl@crl.org.pl,,OPP
Centrum Rozwoju Lokalnego,http://www.crl.org.pl,http://crl.org.pl/kategorie/1-procent,https://www.pitax.pl/rozlicz/0000332814/?cel=centrumrozwoju,ONL,static,,32 494 13 19,crl@crl.org.pl,,OPP
Centrum Rozwoju Lokalnego,http://www.crl.org.pl,http://crl.org.pl/kategorie/1-procent,https://www.pitax.pl/,SEO,static,,32 494 13 19,crl@crl.org.pl,,OPP
Centrum Rozwoju Lokalnego,http://www.crl.org.pl,http://crl.org.pl/kategorie/1-procent,https://www.iwop.pl/,SEO2,static,,32 494 13 19,crl@crl.org.pl,,OPP
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl,http://www.fundacja-radosc.pl,https://www.pitax.pl/pobierz?krs=0000245205,WIN,static,,600 260 281,biuro@fundacja-radosc.pl,,OPP
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl,http://www.fundacja-radosc.pl/przekaz-jeden-procent-podatku,https://www.pitax.pl/rozlicz?,ONL,static,,600 260 281,biuro@fundacja-radosc.pl,,OPP
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl,http://www.fundacja-radosc.pl/przekaz-jeden-procent-podatku,https://www.pitax.pl/pobierz?krs=0000245205,WIN,static,,600 260 281,biuro@fundacja-radosc.pl,,OPP
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl,http://www.fundacja-radosc.pl/przekaz-jeden-procent-podatku,https://www.pitax.pl/pobierz?krs=0000245205,WIN,static,,600 260 281,biuro@fundacja-radosc.pl,,OPP
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl,http://www.fundacja-radosc.pl/przekaz-jeden-procent-podatku,https://www.pitax.pl/krs/0000245205,LP,static,,600 260 281,biuro@fundacja-radosc.pl,,OPP
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl,http://www.fundacja-radosc.pl/przekaz-jeden-procent-podatku,https://www.pitax.pl/krs/0000245205,LP,static,,600 260 281,biuro@fundacja-radosc.pl,,OPP
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl,http://www.fundacja-radosc.pl/przekaz-jeden-procent-podatku,https://www.pitax.pl/krs/0000245205/,LP,static,,600 260 281,biuro@fundacja-radosc.pl,,OPP
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,http://www.nowepokolenie.org.pl,https://www.pitax.pl/rozlicz/0000320274/?cel=Crazy%20Kids,ONL,static,,507 237 007,biuro@nowepokolenie.org.pl,Tomasz Stałek,OPP
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,http://www.nowepokolenie.org.pl,https://www.pitax.pl/pobierz/0000320274/,WIN,static,,507 237 007,biuro@nowepokolenie.org.pl,Tomasz Stałek,OPP
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,http://www.nowepokolenie.org.pl,https://www.iwop.pl/,SEO2,static,,507 237 007,biuro@nowepokolenie.org.pl,Tomasz Stałek,OPP
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,http://www.nowepokolenie.org.pl,https://www.pitax.pl/,SEO,static,,507 237 007,biuro@nowepokolenie.org.pl,Tomasz Stałek,OPP
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,http://www.nowepokolenie.org.pl,https://www.pitax.pl/rozlicz/0000320274/?cel=Crazy%20Kids,ONL,static,,507 237 007,biuro@nowepokolenie.org.pl,Tomasz Stałek,OPP
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,http://www.nowepokolenie.org.pl,https://www.pitax.pl/opp/zestaw-formularzy-pit-dla-opp/?krs=0000320274,OTH,static,,507 237 007,biuro@nowepokolenie.org.pl,Tomasz Stałek,OPP
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,http://www.nowepokolenie.org.pl,https://www.pitax.pl/pobierz/0000320274/,WIN,static,,507 237 007,biuro@nowepokolenie.org.pl,Tomasz Stałek,OPP
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,http://www.nowepokolenie.org.pl,https://www.iwop.pl/,SEO2,static,,507 237 007,biuro@nowepokolenie.org.pl,Tomasz Stałek,OPP
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,http://www.nowepokolenie.org.pl,https://www.pitax.pl/,SEO,static,,507 237 007,biuro@nowepokolenie.org.pl,Tomasz Stałek,OPP
Czerwone Noski Klown w Szpitalu,http://www.czerwonenoski.pl,http://www.czerwonenoski.pl,https://www.pitax.pl/rozlicz/0000428469/,ONL,static,,22 614 02 99,info@czerwonenoski.pl,,OPP
Czerwone Noski Klown w Szpitalu,http://www.czerwonenoski.pl,http://www.czerwonenoski.pl/mozeszpomoc/1procent/#.WpGvDxPOW8U,https://www.pitax.pl/rozlicz/0000428469/,ONL,static,,22 614 02 99,info@czerwonenoski.pl,,OPP
Czerwone Noski Klown w Szpitalu,http://www.czerwonenoski.pl,http://www.czerwonenoski.pl/mozeszpomoc/1procent/#.WpGvDxPOW8U,https://www.pitax.pl/krs/0000428469,LP,static,,22 614 02 99,info@czerwonenoski.pl,,OPP
Czerwone Noski Klown w Szpitalu,http://www.czerwonenoski.pl,http://www.czerwonenoski.pl/mozeszpomoc/1procent/#.WpGvDxPOW8U,https://www.pitax.pl/,SEO,static,,22 614 02 99,info@czerwonenoski.pl,,OPP
Czerwone Noski Klown w Szpitalu,http://www.czerwonenoski.pl,http://www.czerwonenoski.pl/mozeszpomoc/1procent/#.WpGvDxPOW8U,https://www.iwop.pl/,SEO2,static,,22 614 02 99,info@czerwonenoski.pl,,OPP
Częstochowskie Stowarzyszenie Pomocy Osobom z Problemami Autyzmu,http://www.autyzm.czest.pl,http://www.autyzm.czest.pl/,http://www.pitax.pl/krs/0000098534/,LP,dynamic,,693 118 246,cspozpa@wp.pl,Barbara Kurek,OPP
Częstochowskie Stowarzyszenie Pomocy Osobom z Problemami Autyzmu,http://www.autyzm.czest.pl,http://www.autyzm.czest.pl/,https://www.pitax.pl/,SEO,dynamic,,693 118 246,cspozpa@wp.pl,Barbara Kurek,OPP
Częstochowskie Stowarzyszenie Pomocy Osobom z Problemami Autyzmu,http://www.autyzm.czest.pl,http://www.autyzm.czest.pl/,https://www.iwop.pl/,SEO2,dynamic,,693 118 246,cspozpa@wp.pl,Barbara Kurek,OPP
Częstochowskie Stowarzyszenie Pomocy Osobom z Problemami Autyzmu,http://www.autyzm.czest.pl,www.autyzm.czest.pl/przekaz-1-dla-naszego-stowarzyszenia/,http://www.pitax.pl/krs/0000098534/,LP,static,,693 118 246,cspozpa@wp.pl,Barbara Kurek,OPP
Częstochowskie Stowarzyszenie Pomocy Osobom z Problemami Autyzmu,http://www.autyzm.czest.pl,www.autyzm.czest.pl/przekaz-1-dla-naszego-stowarzyszenia/,https://www.pitax.pl/,SEO,static,,693 118 246,cspozpa@wp.pl,Barbara Kurek,OPP
Częstochowskie Stowarzyszenie Pomocy Osobom z Problemami Autyzmu,http://www.autyzm.czest.pl,www.autyzm.czest.pl/przekaz-1-dla-naszego-stowarzyszenia/,https://www.iwop.pl/,SEO2,static,,693 118 246,cspozpa@wp.pl,Barbara Kurek,OPP
Dolnośląskie Koło Przyjaciół Dzieci z Fenyloketonurią,http://www.pkuwroc.pl,http://www.pkuwroc.pl,http://www.pitax.pl/krs/0000062454,LP,static,,799189679,przesiew@wssk.wroc.pl,,OPP
Dolnośląskie Koło Przyjaciół Dzieci z Fenyloketonurią,http://www.pkuwroc.pl,http://pkuwroc.pl/podaruj-nam-1-krs-0000062454/,http://www.pitax.pl/krs/0000062454,LP,dynamic,,799189679,przesiew@wssk.wroc.pl,,OPP
Dolnośląskie Koło Przyjaciół Dzieci z Fenyloketonurią,http://www.pkuwroc.pl,pkuwroc.pl/category/aktualnosci/informacje/,http://www.pitax.pl/krs/0000062454,LP,dynamic,,799189679,przesiew@wssk.wroc.pl,,OPP
Dolnośląskie Koło Przyjaciół Dzieci z Fenyloketonurią,http://www.pkuwroc.pl,pkuwroc.pl/category/aktualnosci/informacje/,http://www.pitax.pl,SEO,dynamic,,799189679,przesiew@wssk.wroc.pl,,OPP
Dolnośląskie Koło Przyjaciół Dzieci z Fenyloketonurią,http://www.pkuwroc.pl,pkuwroc.pl/category/aktualnosci/informacje/,http://www.pitax.pl/krs/0000062454,LP,dynamic,,799189679,przesiew@wssk.wroc.pl,,OPP
Dolnośląskie Stowarzyszenie Psychoprofilaktyczne Return,http://www.return-wroclaw.pl,http://www.return-wroclaw.pl/,https://www.pitax.pl/krs/0000063112/,LP,static,,71 311 24 06,return-return@wp.pl,Łukasz Golonka,OPP
Dolnośląskie Stowarzyszenie Psychoprofilaktyczne Return,http://www.return-wroclaw.pl,http://www.return-wroclaw.pl/kontakt,https://www.pitax.pl/krs/0000063112/,LP,static,,71 311 24 06,return-return@wp.pl,Łukasz Golonka,OPP
Dolnośląskie Stowarzyszenie Psychoprofilaktyczne Return,http://www.return-wroclaw.pl,http://www.return-wroclaw.pl/kontakt,https://www.iwop.pl/,SEO2,static,,71 311 24 06,return-return@wp.pl,Łukasz Golonka,OPP
Dolnośląskie Stowarzyszenie Psychoprofilaktyczne Return,http://www.return-wroclaw.pl,http://www.return-wroclaw.pl/kontakt,https://www.pitax.pl/,SEO,static,,71 311 24 06,return-return@wp.pl,Łukasz Golonka,OPP
Edukacyjne Centrum Integracji Międzypokoleniowej Hipokamp,http://seniorzy-hipokamp.pl,http://seniorzy-hipokamp.pl/,http://www.pitax.pl/rozlicz/0000375766/,LP,dynamic,,601 254 371,hipokamp@onet.eu,,OPP
Edukacyjne Centrum Integracji Międzypokoleniowej Hipokamp,http://seniorzy-hipokamp.pl,http://seniorzy-hipokamp.pl/,http://www.iwop.pl,SEO2,dynamic,,601 254 371,hipokamp@onet.eu,,OPP
Edukacyjne Centrum Integracji Międzypokoleniowej Hipokamp,http://seniorzy-hipokamp.pl,http://seniorzy-hipokamp.pl/,http://www.pitax.pl,SEO,dynamic,,601 254 371,hipokamp@onet.eu,,OPP
Edukacyjne Centrum Integracji Międzypokoleniowej Hipokamp,http://seniorzy-hipokamp.pl,http://seniorzy-hipokamp.pl/,http://www.pitax.pl,SEO,static,,601 254 371,hipokamp@onet.eu,,OPP
Edukacyjne Centrum Integracji Międzypokoleniowej Hipokamp,http://seniorzy-hipokamp.pl,http://seniorzy-hipokamp.pl/,http://www.iwop.pl,SEO2,static,,601 254 371,hipokamp@onet.eu,,OPP
Ewangelickie Stowarzyszenie Betel,http://esbetel.pl/,http://esbetel.pl/,https://www.pitax.pl/krs/0000373147,LP,static,,874232280,pisz@luteranie.pl,ks. Marcin Pysz,OPP
Ewangelickie Stowarzyszenie Betel,http://esbetel.pl/,http://esbetel.pl/,https://www.pitax.pl/krs/0000373147,LP,static,,874232280,pisz@luteranie.pl,ks. Marcin Pysz,OPP
Ewangelickie Stowarzyszenie Betel,http://esbetel.pl/,http://esbetel.pl/,https://www.pitax.pl/krs/0000373147,LP,static,,874232280,pisz@luteranie.pl,ks. Marcin Pysz,OPP
Ewangelickie Stowarzyszenie Betel,http://esbetel.pl/,http://esbetel.pl/,http://www.pitax.pl,SEO,static,,874232280,pisz@luteranie.pl,ks. Marcin Pysz,OPP
Fundacja Alfa,http://www.fundacja-alfa.sektor3.wroclaw.pl,http://www.fundacja-alfa.sektor3.wroclaw.pl,http://www.pitax.pl/rozlicz/?krs=0000194226,LP,static,,71 341 71 56,a_found@tlen.pl,Ewa Jaworska,OPP
Fundacja Alfa,http://www.fundacja-alfa.sektor3.wroclaw.pl,http://www.fundacjaalfa.pl/site/aktualnosci/n/1/n/1.html,http://www.pitax.pl/rozlicz/?krs=0000194226,LP,dynamic,,71 341 71 56,a_found@tlen.pl,Ewa Jaworska,OPP
Fundacja Alfa,http://www.fundacja-alfa.sektor3.wroclaw.pl,www.fundacjaalfa.pl/site/aktualnosci/n/1/n/1.html,https://www.pitax.pl,SEO,dynamic,,71 341 71 56,a_found@tlen.pl,Ewa Jaworska,OPP
Fundacja Alfa,http://www.fundacja-alfa.sektor3.wroclaw.pl,www.fundacjaalfa.pl/site/aktualnosci/n/1/n/1.html,https://www.iwop.pl/,SEO2,dynamic,,71 341 71 56,a_found@tlen.pl,Ewa Jaworska,OPP
Fundacja Arka Bydgoszcz,http://fundacja-arka.org,http://fundacja-arka.org,https://www.pitax.pl/krs/0000294020/,LP,static,,52 322 56 70,arka.bydgoszcz@wp.pl,Olszewska Barbara,OPP
Fundacja Arka Bydgoszcz,http://fundacja-arka.org,http://fundacja-arka.org,https://www.pitax.pl,SEO,static,,52 322 56 70,arka.bydgoszcz@wp.pl,Olszewska Barbara,OPP
Fundacja Arka Bydgoszcz,http://fundacja-arka.org,http://fundacja-arka.org,https://www.iwop.pl/,SEO2,static,,52 322 56 70,arka.bydgoszcz@wp.pl,Olszewska Barbara,OPP
Fundacja Artystyczna Cantito,http://www.fundacjacantito.pl,http://www.fundacjacantito.pl/1procent,https://www.pitax.pl/rozlicz/?krs=0000424570,LP,static,,607305301,kontakt@fundacjacantito.pl,Adrian Wyka,OPP
Fundacja Artystyczna Cantito,http://www.fundacjacantito.pl,http://www.fundacjacantito.pl/1procent,https://www.pitax.pl/pobierz/?krs=0000424570,LP,static,,607305301,kontakt@fundacjacantito.pl,Adrian Wyka,OPP
Fundacja Artystyczna Cantito,http://www.fundacjacantito.pl,http://www.fundacjacantito.pl/1procent,https://www.pitax.pl/,SEO,static,,607305301,kontakt@fundacjacantito.pl,Adrian Wyka,OPP
Fundacja Bieszczadzka,http://www.fundacjabieszczadzka.org,http://www.fundacjabieszczadzka.org,https://www.pitax.pl/krs/0000180514/,LP,static,,134697297,biuro@fundacja.bieszczady.pl,Sobańska Lucyna,OPP
Fundacja Bieszczadzka,http://www.fundacjabieszczadzka.org,http://www.fundacjabieszczadzka.org,https://www.pitax.pl/,SEO,static,,134697297,biuro@fundacja.bieszczady.pl,Sobańska Lucyna,OPP
Fundacja Być Bardziej,https://dzwoneknaobiad.pl,https://dzwoneknaobiad.pl/przekaz-1/,https://www.pitax.pl/pobierz/0000445363/,WIN,static,,730 96 97 97,fundacja@bycbardziej.pl,,OPP
Fundacja Być Bardziej,https://dzwoneknaobiad.pl,https://dzwoneknaobiad.pl/przekaz-1/,https://www.pitax.pl/rozlicz/0000445363/,ONL,static,,730 96 97 97,fundacja@bycbardziej.pl,,OPP
Fundacja Być Bardziej,https://dzwoneknaobiad.pl,https://dzwoneknaobiad.pl/przekaz-1/,https://www.pitax.pl/,SEO,static,,730 96 97 97,fundacja@bycbardziej.pl,,OPP
Fundacja Być Bardziej,https://dzwoneknaobiad.pl,https://dzwoneknaobiad.pl/przekaz-1/,https://www.iwop.pl/,SEO2,static,,730 96 97 97,fundacja@bycbardziej.pl,,OPP
Fundacja Być Bardziej,https://dzwoneknaobiad.pl,https://dzwoneknaobiad.pl/glowna/,"""https://www.pitax.pl/krs/0000445363",LP,static,,730 96 97 97,fundacja@bycbardziej.pl,,OPP
Fundacja Być Bardziej,https://dzwoneknaobiad.pl,https://dzwoneknaobiad.pl/glowna/,https://www.pitax.pl/,SEO,static,,730 96 97 97,fundacja@bycbardziej.pl,,OPP
Fundacja Być Bardziej,https://dzwoneknaobiad.pl,https://dzwoneknaobiad.pl/glowna/,https://www.iwop.pl/,SEO2,static,,730 96 97 97,fundacja@bycbardziej.pl,,OPP
Fundacja Daj Szansę,http://www.daj-szanse.eu,http://www.daj-szanse.eu,https://www.pitax.pl/krs/0000015435/,LP,static,,41 395 30 14,br@skarzysko.powiat.pl,Joanna Wężyk,OPP
Fundacja Daj Szansę,http://www.daj-szanse.eu,daj-szanse.eu/?page_id=322,https://www.iwop.pl/,SEO2,static,,41 395 30 14,br@skarzysko.powiat.pl,Joanna Wężyk,OPP
Fundacja Daj Szansę,http://www.daj-szanse.eu,daj-szanse.eu/?page_id=322,https://www.pitax.pl/,SEO,static,,41 395 30 14,br@skarzysko.powiat.pl,Joanna Wężyk,OPP
Fundacja Daj Szansę,http://www.daj-szanse.eu,daj-szanse.eu/?page_id=322,https://www.pitax.pl/krs/0000015435/,LP,static,,41 395 30 14,br@skarzysko.powiat.pl,Joanna Wężyk,OPP
Fundacja dla Ludzi Potrzebujących Pomocy Gniazdo,http://fundacja-gniazdo.org,fundacja-gniazdo.org,https://www.pitax.pl/rozlicz/0000082224/,ONL,dynamic,,501 347 114,fundacja_gniazdo@poczta.onet.pl,,OPP
Fundacja dla Ludzi Potrzebujących Pomocy Gniazdo,http://fundacja-gniazdo.org,fundacja-gniazdo.org,https://www.pitax.pl/krs/formularze/0000082224/,,dynamic,,501 347 114,fundacja_gniazdo@poczta.onet.pl,,OPP
Fundacja dla Ludzi Potrzebujących Pomocy Gniazdo,http://fundacja-gniazdo.org,fundacja-gniazdo.org,https://www.pitax.pl/,SEO,dynamic,,501 347 114,fundacja_gniazdo@poczta.onet.pl,,OPP
Fundacja dla Ludzi Potrzebujących Pomocy Gniazdo,http://fundacja-gniazdo.org,http://fundacja-gniazdo.org/index.php?id=1procent,https://www.pitax.pl/rozlicz/0000082224/,LP,static,,501 347 114,fundacja_gniazdo@poczta.onet.pl,,OPP
Fundacja dla Ludzi Potrzebujących Pomocy Gniazdo,http://fundacja-gniazdo.org,http://fundacja-gniazdo.org/index.php?id=1procent,https://www.pitax.pl/krs/formularze/0000082224/,,static,,501 347 114,fundacja_gniazdo@poczta.onet.pl,,OPP
Fundacja dla Wolności,http://www.fundacjadlawolnosci.org,http://www.fundacjadlawolnosci.org/,https://www.pitax.pl/rozlicz/0000224819/,ONL,static,,22 612 76 18,info@fundacjadlawolnosci.org,,OPP
Fundacja dla Wolności,http://www.fundacjadlawolnosci.org,http://www.fundacjadlawolnosci.org/,https://www.pitax.pl/,SEO,static,,22 612 76 18,info@fundacjadlawolnosci.org,,OPP
Fundacja dla Wolności,http://www.fundacjadlawolnosci.org,http://www.fundacjadlawolnosci.org/,https://www.iwop.pl/,SEO2,static,,22 612 76 18,info@fundacjadlawolnosci.org,,OPP
Fundacja dla Wolności,http://www.fundacjadlawolnosci.org,http://www.fundacjadlawolnosci.org/1-procent/,https://www.pitax.pl/krs/rozlicz/0000224819,ONL,static,,22 612 76 18,info@fundacjadlawolnosci.org,,OPP
Fundacja dla Wolności,http://www.fundacjadlawolnosci.org,http://www.fundacjadlawolnosci.org/1-procent/,https://www.pitax.pl/krs/0000224819,LP,static,,22 612 76 18,info@fundacjadlawolnosci.org,,OPP
Fundacja dla Wolności,http://www.fundacjadlawolnosci.org,http://www.fundacjadlawolnosci.org/1-procent/,https://www.pitax.pl/krs/rozlicz/0000224819,ONL,static,,22 612 76 18,info@fundacjadlawolnosci.org,,OPP
Fundacja dla Wolności,http://www.fundacjadlawolnosci.org,http://www.fundacjadlawolnosci.org/1-procent/,https://www.pitax.pl/krs/rozlicz/0000224819,ONL,static,,22 612 76 18,info@fundacjadlawolnosci.org,,OPP
Fundacja dla Wolności,http://www.fundacjadlawolnosci.org,http://www.fundacjadlawolnosci.org/1-procent/,https://www.pitax.pl/krs/rozlicz/0000224819,ONL,static,,29 612 76 18,info@fundacjadlawolnosci.org,,OPP
Fundacja dla Wolności,http://www.fundacjadlawolnosci.org,http://www.fundacjadlawolnosci.org/1-procent/,https://www.pitax.pl/krs/pobierz/0000224819,WIN,static,,22 612 76 18,info@fundacjadlawolnosci.org,,OPP
Fundacja dla Wolności,http://www.fundacjadlawolnosci.org,http://www.fundacjadlawolnosci.org/1-procent/,https://www.pitax.pl/krs/pobierz/0000224819,WIN,static,,22 612 76 18,info@fundacjadlawolnosci.org,,OPP
Fundacja dla Wolności,http://www.fundacjadlawolnosci.org,http://www.fundacjadlawolnosci.org/1-procent/,https://www.pitax.pl/,SEO,static,,22 612 76 18,info@fundacjadlawolnosci.org,,OPP
Fundacja dla Wolności,http://www.fundacjadlawolnosci.org,http://www.fundacjadlawolnosci.org/1-procent/,https://www.iwop.pl/,SEO2,static,,22 612 76 18,info@fundacjadlawolnosci.org,,OPP
Fundacja Dla Życia i Rodziny im. Jana Pawła II,http://www.zyciacud.pl,http://www.zyciacud.pl,https://www.pitax.pl/krs/0000409179,LP,static,,604 227 359,biuro@zyciacud.pl,Grzegorz Milartowicz,OPP
