LUDOWY KLUB SPORTOWY "SKRBEŃSKO" Z SIEDZIBĄ W SKRBEŃSKU,0000002521,
STOWARZYSZENIE MUZYCZNE "AKOLADA",0000002635,
SPOŁECZNY KOMITET POMOCY OSOBOM NIEPEŁNOSPRAWNYM,0000002643,
BANK ŻYWNOŚCI W NOWYCH BIELICACH,0000002664,
OCHOTNICZA STRAŻ POŻARNA W SIEDLISKACH,0000002676,
RUDZKIE KONTO POMOCY,0000002681,
TOWARZYSTWO "SPRAWNI INACZEJ",0000002790,
FUNDACJA NA RZECZ HEMATOLOGII I MEDYCYNY REGENERACYJNEJ,0000002803,
OCHOTNICZA STRAŻ POŻARNA GŁOŻYNY W RADLINIE,0000002838,
JAROCIŃSKIE STOWARZYSZENIE EDUKACYJNE,0000002928,
BRACTWO KURKOWE MIASTA RUDA ŚLĄSKA W RUDZIE ŚLĄSKIEJ,0000002929,
STOWARZYSZENIE NA RZECZ ADAPTACJI OSÓB UZALEŻNIONYCH I ICH RODZIN DO SPOŁECZEŃSTWA "ŻYJ I DAJ ŻYĆ" - ORGANIZACJA POŻYTKU PUBLICZNEGO,0000002937,
STOWARZYSZENIE PROMOCJI ZDROWIA "ALERGOKOL" W RYBNIKU,0000002975,
STOWARZYSZENIE PRZYJACIÓŁ DOMU POMOCY SPOŁECZNEJ W GNOJNIE,0000002989,
STOWARZYSZENIE POMOCY SPOŁECZNEJ "SOCJAL" W BRANIEWIE,0000003007,
KOMITET POMOCY DZIECIOM SPECJALNEJ TROSKI W JASTRZĘBIU-ZDROJU,0000003024,
TOWARZYSTWO MIŁOŚNIKÓW ZIEMI JASTRZĘBSKIEJ,0000003038,
STOWARZYSZENIE RODZIN OSÓB NIEPEŁNOSPRAWNYCH "NADZIEJA",0000003051,
PIEKARSKIE STOWARZYSZENIE RODZIN ABSTYNENCKICH KLUB ABSTYNENTA "PIĄTKA",0000003058,
KLUB ABSTYNENTÓW "KROKUS" GLIWICE,0000003074,
STOWARZYSZENIE PRZYJACIÓŁ CHORYCH - HOSPICJUM IM.MATKI TERESY Z SIEDZIBĄ W ZABRZU,0000003102,
TOWARZYSTWO OPIEKI NAD ZWIERZĘTAMI "FAUNA" W RUDZIE ŚLĄSKIEJ,0000003109,
STOWARZYSZENIE PROMOCJI ZDROWIA I TRZEŹWEGO STYLU ŻYCIA "SZANSA",0000003134,
STOWARZYSZENIE RODZIN I PRZYJACIÓŁ OSÓB Z ZESPOŁEM DOWNA "SZANSA",0000003169,
CHRZEŚCIJAŃSKIE STOWARZYSZENIE "BEZPIECZNA PRZYSTAŃ",0000003204,
LUDOWY KLUB SPORTOWY "MAGÓRKA" CZERNICHÓW - TRESNA,0000003232,
RUDZKIE STOWARZYSZENIE RODZIN ABSTYNENCKICH "ZDROWE ŻYCIE",0000003233,
LUDOWY KLUB JEŹDZIECKI "ZABAJKA",0000003258,
STOWARZYSZENIE DIALIZOWANYCH NEPHROS Z SIEDZIBĄ W JASTRZĘBIU ZDROJU,0000003272,
TOWARZYSTWO MUZYCZNE IM. BRACI SZAFRANKÓW Z SIEDZIBĄ W RYBNIKU,0000003278,
LUDOWY KLUB SPORTOWY "BŁAŻOWIANKA" W BŁAŻOWEJ,0000003316,
STOWARZYSZENIE HOSPICJUM IM. ANNY OLSZEWSKIEJ W SKIERNIEWICACH,0000003362,
SPOŁECZNO-OŚWIATOWE STOWARZYSZENIE POMOCY POKRZYWDZONYM I NIEPEŁNOSPRAWNYM  "EDUKATOR" W ŁOMŻY, ODDZIAŁ W POLANICY ZDROJU,0000003418,
STOWARZYSZENIE OSÓB NIEPEŁNOSPRAWNYCH IM. JANINY STOKSIK,0000003452,
JASTRZĘBSKA UROLOGIA,0000003483,
"HOSPICJUM KRÓLOWEJ POKOJU",0000003495,
KURKOWE BRACTWO STRZELECKIE W ŻORACH,0000003519,
STOWARZYSZENIE KATOLICKIEJ WSPÓLNOTY "EMMANUEL",0000003534,
FUNDACJA "RODZINA",0000003639,
STOWARZYSZENIE EKOLOGICZNE "EKO-UNIA" Z SIEDZIBĄ WE WROCŁAWIU,0000003647,
BRACTWO CZARNEJ WODY,0000003678,
STOWARZYSZENIE SPOŁECZNO-KULTURALNE WŁODZICA,0000003684,
RUDZKIE STOWARZYSZENIE AMAZONEK "RELAKS" Z SIEDZIBĄ W RUDZIE ŚLĄSKIEJ,0000003736,
STOWARZYSZENIE NA RZECZ ROZWOJU PROFILAKTYKI I LECZENIA CHORÓB KOBIECYCH,0000003738,
TOWARZYSTWO MUZYCZNE IM. KAROLA NICZE,0000003793,
OCHOTNICZA STRAŻ POŻARNA W PAWŁOWIE GM. PIETROWICE WIELKIE,0000003819,
STOWARZYSZENIE "MAMY WIELKIE SERCA",0000003847,
STOWARZYSZENIE NA RZECZ OSÓB NIEPEŁNOSPRAWNYCH "NATURA",0000003866,
STOWARZYSZENIE SPOŁECZNO-KULTURALNE "SŁAWINEK",0000003884,
KLUB PIŁKARSKI CENTRA 1946 OSTRÓW WIELKOPOLSKI,0000003905,
STOWARZYSZENIE NA RZECZ REHABILITACJI PSYCHIATRYCZNEJ,0000003968,
TOWARZYSTWO ROZWOJU POWIATU NOWODWORSKIEGO,0000004001,
KLUB SPORTOWY "ORZEŁ" ŁÓDŹ,0000004022,
ZIEMIA I MY CENTRUM EDUKACJI EKOLOGICZNEJ,0000004050,
LUDOWY KLUB SPORTOWY "PIAST" ŁAPANÓW,0000004066,
STOWARZYSZENIE OPIEKI HOSPICYJNEJ I PALIATYWNEJ IM. ŚW. JANA PAWŁA II W RUDZIE ŚLĄSKIEJ,0000004129,
STOWARZYSZENIE OCHRONY I POMOCY RODZINIE ALKOHOLOWEJ "SOPRA",0000004293,
STOWARZYSZENIE KULTURALNE "VIVA ART" W ELBLĄGU,0000004316,
STOWARZYSZENIE ŚWIĘTEJ RODZINY,0000004368,
STOWARZYSZENIE NA RZECZ OCHRONY ZDROWIA PSYCHICZNEGO "NASZ DOM",0000004449,
STOWARZYSZENIE RODZICÓW I OPIEKUNÓW OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ "WIARA I NADZIEJA",0000004478,
"STOWARZYSZENIE POMOCY DZIECIOM NIEPEŁNOSPRAWNYM "ŚWIETLIK" W PIŃCZOWIE",0000004502,
ZABRZAŃSKIE TOWARZYSTWO RODZICÓW, OPIEKUNÓW I PRZYJACIÓŁ DZIECI SPECJALNEJ TROSKI W ZABRZU,0000004507,
LUBELSKIE HOSPICJUM DLA DZIECI IM. MAŁEGO KSIĘCIA,0000004522,
STOWARZYSZENIE PERSONA NA RZECZ PROMOCJI I OCHRONY ZDROWIA PSYCHICZNEGO Z SIEDZIBĄ   W RACIBORZU,0000004540,
REGIONALNE STOWARZYSZENIE NA RZECZ OSÓB AUTYSTYCZNYCH I ICH RODZIN,0000004562,
OCHOTNICZA STRAŻ POŻARNA W KOŹMINKU,0000004629,
STOWARZYSZENIE PRO MUSICA ORGANA,0000004657,
STOWARZYSZENIE MIŁOŚNIKÓW 600- LETNIEGO BIERUNIA,0000004674,
STOWARZYSZENIE GMIN DORZECZA GÓRNEJ ODRY Z SIEDZIBĄ W RACIBORZU,0000004694,
"NASZA NADZIEJA - STOWARZYSZENIE OSÓB NIEPEŁNOSPRAWNYCH",0000004746,
STOWARZYSZENIE OŚWIATOWO - WYCHOWAWCZE W PIERZCHNICY,0000004792,
STOWARZYSZENIE PROFILAKTYCZNO- WYCHOWAWCZE "FENIX",0000004836,
STOWARZYSZENIE NA RZECZ ZWALCZANIA CHORÓB UKŁADU ODDECHOWEGO,0000004868,
STOWARZYSZENIE "RZESZOWSKI KLUB AMAZONKA",0000004879,
LUDOWY KLUB SPORTOWY "OGNISKO" PRZEWORNO,0000004922,
TOWARZYSTWO PRZYJACIÓŁ CHORYCH "HOSPICJUM",0000004973,
"STOWARZYSZENIE NA RZECZ ROZWOJU I PROMOCJI GMINY KOZY",0000005037,
STOWARZYSZENIE "EKO-INICJATYWA",0000005069,
STOWARZYSZENIE NA RZECZ MŁODZIEŻY SPRAWNEJ INACZEJ "ŚMIAŁEK",0000005145,
FUNDACJA POMOCY OSOBOM Z CHOROBĄ ALZHEIMERA,0000005220,
STOWARZYSZENIE OPIEKI NAD ZWIERZĘTAMI LUBELSKI ANIMALS,0000005227,
LUBELSKI ZWIĄZEK KOSZYKÓWKI W LUBLINIE,0000005282,
STOWARZYSZENIE NA RZECZ POMOCY RODZINIE SYNAPSA,0000005380,
CHEŁMSKI KLUB SPORTOWY CHEŁMIANKA,0000005411,
FUNDACJA PROMOCJI I AKREDYTACJI KIERUNKÓW EKONOMICZNYCH,0000005496,
"NASZA SZKOŁA" STOWARZYSZENIE PRZYJACIÓŁ SZKOŁY PODSTAWOWEJ NR 1 W GRONOWIE GÓRNYM,0000005622,
TOWARZYSTWO PRZYJACIÓŁ NAŁĘCZOWA,0000005648,
FUNDACJA ŚW. ANTONIEGO,0000005654,
STOWARZYSZENIE OSÓB NIEPEŁNOSPRAWNYCH "NADZIEJA",0000005684,
POLSKI ZWIĄZEK GŁUCHYCH ODDZIAŁ MAZOWIECKI,0000005726,
LĘDZIŃSKIE STOWARZYSZENIE NA RZECZ OSÓB NIEPEŁNOSPRAWNYCH I ICH RODZIN,0000005834,
STOWARZYSZENIE OŚRODEK WSPIERANIA RODZINY W CHEŁMIE,0000005861,
STOWARZYSZENIE NA RZECZ OCHRONY ZDROWIA I POMOCY SPOŁECZNEJ W MYSŁOWICACH,0000005877,
STOWARZYSZENIE POMOCY OSOBOM AUTYSTYCZNYM I OSOBOM Z TRUDNOŚCIAMI W KOMUNIKOWANIU SIĘ W MALBORKU,0000005905,
TOWARZYSTWO PRZYJAŹNI KROTOSZYN- MEJSZAGOŁA,0000005943,
FUNDACJA POMOCY SPOŁECZNEJ,0000005964,
FUNDACJA POMOCY OSOBOM Z AUTYZMEM "MADA",0000006079,
STOWARZYSZENIE PRZYJACIÓŁ HARCERSKIEGO ZESPOŁU ARTYSTYCZNEGO "KRAJKI",0000006158,
STOWARZYSZENIE ROZWOJU JUSTYNOWA I JANÓWKI,0000006159,
LUDOWY KLUB SPORTOWY "ŻAREK" STRONIE,0000006231,
KATOLICKIE STOWARZYSZENIE NA RZECZ OSÓB NIEPEŁNOSPRAWNYCH "TĘCZA" DIECEZJI ZIELONOGÓRSKO-GORZOWSKIEJ,0000006274,
STOWARZYSZENIE AMAZONEK "AGATA",0000006292,
TERENOWY KOMITET OCHRONY PRAW DZIECKA,0000006451,
AST FUNDACJA NA RZECZ ZWIERZĄT NIECHCIANYCH,0000006471,
STOWARZYSZENIE "RAZEM",0000006479,
WOJEWÓDZKIE STOWARZYSZENIE SPORTU I REHABILITACJI NIEPEŁNOSPRAWNYCH "START",0000006588,
FUNDACJA "DZIECIĘCE MARZENIA",0000006734,
FUNDACJA "ENERGETYK",0000006767,
STUDENCKIE KOŁO PRZEWODNIKÓW BESKIDZKICH W RZESZOWIE,0000006825,
STOWARZYSZENIE "OSTROWIANIE DZIECIOM SPECJALNEJ TROSKI",0000006873,
OCHOTNICZA STRAŻ POŻARNA W ŻERDZINACH GMINA PIETROWICE WIELKIE,0000006964,
STOWARZYSZENIE PRZYJACIÓŁ ZWIERZĄT "AZYL",0000006967,
TOWARZYSTWO PRZYJACIÓŁ III LO IM.ADAMA MICKIEWICZA W TARNOWIE,0000007018,
STOWARZYSZENIE "HOSPICJUM IM. ŚW. MAŁGORZATY" - ORAGANIZACJA KATOLICKA PRZY PARAFII RZYMSKOKATOLICKIEJ P.W. BOŻEGO CIAŁA W TUCHOLI,0000007101,
FUNDACJA DIALOG,0000007228,
AS - STOWARZYSZENIE WSPIERANIA INICJATYW LOKALNYCH,0000007260,
OGNISKO TKKF "PRZYJACIEL KONIKA",0000007324,
POLSKI ZWIĄZEK NIEWIDOMYCH OKRĘG LUBELSKI,0000007330,
FUNDACJA MIŁOSIERDZIE,0000007384,
STOWARZYSZENIE "CHRYSTUS DLA NARODÓW - POLSKA",0000007534,
STOWARZYSZENIE ZIEMI LIPOWIECKIEJ,0000007632,
FUNDACJA OŚWIATOWA IM.KS.STANISŁAWA KONARSKIEGO,0000007646,
FUNDACJA DOM RODZINNEJ REHABILITACJI DZIECI Z PORAŻENIEM MÓZGOWYM,0000007685,
POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W KOLE,0000007771,
"PYSKOWICKIE NARODZINY" Z SIEDZIBĄ W PYSKOWICACH,0000007912,
LUBELSKIE STOWARZYSZENIE ALZHEIMEROWSKIE,0000007966,
POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W OSTRÓDZIE,0000007981,
LUDOWY KLUB SPORTOWY "JEDNOŚĆ ",0000008021,
POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W LUBLINIE,0000008066,
OCHOTNICZA STRAŻ POŻARNA W LEKARTOWIE GMINA PIETROWICE WIELKIE,0000008128,
STOWARZYSZENIE "MISERICORDIA" W ZABRZU,0000008190,
STOWARZYSZENIE HOSPICJUM HOMO-HOMINI IM. ŚW. BRATA ALBERTA,0000008274,
STOWARZYSZENIE POMOCY DZIECIOM W ŻORACH,0000008331,
TOWARZYSTWO SZKOLNE "LEŚNA GÓRA",0000008406,
MIĘDZYSZKOLNY KLUB SPORTOWY "TEMPO" KĘTY,0000008536,
KIWANIS KLUB PUŁAWY W LIKWIDACJI,0000008541,
STOWARZYSZENIE "RODZINA KOLPINGA" PRZY PARAFII P.W. "PRZEMIENIENIA PAŃSKIEGO",0000008558,
STOWARZYSZENIE LOKALNE SALEZJAŃSKIEJ ORGANIZACJI SPORTOWEJ RZECZYPOSPOLITEJ POLSKIEJ W BYDGOSZCZY,0000008704,
STOWARZYSZENIE GMINY RANIŻÓW,0000008708,
STOWARZYSZENIE RODZIN PELIKAN,0000008800,
KLUB SPORTOWY "FILKÓWKA" W BARWAŁDZIE ŚREDNIM,0000008802,
KRAJOWE STOWARZYSZENIE NA RZECZ DZIECI NIEPEŁNOSPRAWNYCH " POMOC DZIECIOM ",0000008838,
STOWARZYSZENIE RODZICÓW I PRZYJACIÓŁ OSÓB NIEPEŁNOSPRAWNYCH "RADOŚĆ",0000008843,
"FUNDACJA NA RZECZ PROGRAMU WCZESNEGO ROZPOZNAWANIA CHORÓB NOWOTWOROWYCH U KOBIET   GODULA - HOPE",0000008844,
IN GREMIO,0000008919,
STOWARZYSZENIE JAROCIN XXI,0000008971,
ŚWIEBODZIŃSKI ZWIĄZEK KRESOWIAN ORGANIZACJA POŻYTKU PUBLICZNEGO,0000009080,
STOWARZYSZENIE POMOCY DZIECIOM I MŁODZIEŻY "DOM ANIOŁÓW STRÓŻÓW",0000009221,
OCHOTNICZA STRAŻ POŻARNA W SZYDŁOWIE,0000009238,
TOWARZYSTWO NASZ SZPITAL,0000009284,
ZIELONOGÓRSKIE TOWARZYSTWO PRZYJACIÓŁ CHORYCH "HOSPICJUM DOMOWE" IM. ŚW. PAWŁA,0000009290,
STOWARZYSZENIE "STOP",0000009306,
STOWARZYSZENIE NA RZECZ POMOCY I ROZWOJU INTEGRACYJNEJ SZKOŁY PODSTAWOWEJ NR 5 W TYCHACH "PIĄTKA DZIECIOM",0000009415,
STOWARZYSZENIE "ŹRÓDŁO" OSÓB NIEPEŁNOSPRAWNYCH UMYSŁOWO, ICH RODZIN I PRZYJACIÓŁ,0000009423,
KLUB SPORTOWY "URSUS",0000009458,
STOWARZYSZENIE "ŻYCIE PO PRZESZCZEPIE",0000009505,
ZWIĄZEK STOWARZYSZEŃ FORUM LUBELSKICH ORGANIZACJI POZARZĄDOWYCH,0000009613,
OCHOTNICZA STRAŻ POŻARNA W BRZESZCZACH,0000009649,
ZRZESZENIE SZLACHTY HERBU "SAS",0000009681,
TOWARZYSTWO POMOCY MŁODZIEŻY,0000009830,
KLUB SPORTOWY "WAŁSZA" W PIENIĘŻNIE,0000009872,
OSTROWSKIE STOWARZYSZENIE OSÓB CHORYCH NA STWARDNIENIE ROZSIANE,0000009969,
KLUB SPORTOWY INWALIDÓW START SZCZECIN,0000010009,
STOWARZYSZENIE NA RZECZ SZKOLNICTWA SPECJALNEGO W TCZEWIE,0000010011,
INTEGRACYJNE STOWARZYSZENIE REHABILITACYJNO-SPORTOWE CULANI,0000010104,
STOWARZYSZENIE KULTURALNO-OŚWIATOWE NA RZECZ ROZWOJU WSI ŚWIĘTE I OKOLIC,0000010182,
STOWARZYSZENIE "IDOKAN POLSKA",0000010195,
KLUB SPORTOWY "TEMPO",0000010212,
ZACHODNIOPOMORSKA REGIONALNA ORGANIZACJA TURYSTYCZNA,0000010273,
OCHOTNICZA STRAŻ POŻARNA W SEROKOMLI,0000010375,
TOWARZYSTWO WSPIERANIA RODZINY I DZIECKA "ALIA",0000010454,
STOWARZYSZENIE EDUKACYJNE "NASZA SZKOŁA",0000010466,
POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W STARGARDZIE,0000010531,
KATOWICKIE STOWARZYSZENIE NA RZECZ OSÓB STARSZYCH,NIEPEŁNOSPRAWNYCH I OCZEKUJĄCYCH WSPARCIA "OPOKA",0000010543,
GMINNY LUDOWY KLUB SPORTOWY "BARYCZ",0000010651,
STOWARZYSZENIE POMOCY OSOBOM NIEPEŁNOSPRAWNYM W ZATRUDNIENIU, REHABILITACJI I REWALIDACJI "INTEGRACJA",0000010679,
WŁOCŁAWSKIE TOWARZYSTWO NAUKOWE,0000010755,
ORATORIUM IM. ŚW. JANA BOSKO PRZY BAZYLICE NAJŚWIĘTSZEGO SERCA JEZUSOWEGO W WARSZAWIE,0000010772,
DOBRZYŃSKO-KUJAWSKIE TOWARZYSTWO KULTURALNE,0000010871,
POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W JAROSŁAWIU,0000010902,
ŚWIĘTOKRZYSKIE STOWARZYSZENIE DZIEDZICTWA PRZEMYSŁOWEGO,0000010904,
KLUB INTELIGENCJI KATOLICKIEJ W BIELSKU-BIAŁEJ,0000010905,
"FUNDACJA NOVA",0000010932,
TOWARZYSTWO MUZYCZNE IM. EDWINA KOWALIKA,0000011024,
STOWARZYSZENIE OPIEKI PALIATYWNEJ "NADZIEJA",0000011033,
STOWARZYSZENIA PRZYJACIÓŁ I WYCHOWANKÓW ZESPOŁU TAŃCA LUDOWEGO "LESZCZYNIACY" W ŚWIDNIKU,0000011078,
NIEZALEŻNE TOWARZYSTWO WĘDKARSKIE W KWIDZYNIE,0000011079,
STOWARZYSZENIE KLUB ABSTYNENTA "DZIEWIĘĆSIŁ",0000011085,
JAGUAR GDAŃSK,0000011163,
SULECHOWSKIE STOWARZYSZENIE " AMAZONEK ",0000011196,
ŚLĄSKIE STOWARZYSZENIE EDUKACJI I REHABILITACJI OSÓB NIEPEŁNOSPRAWNYCH "AKCENT",0000011254,
GÓRNOŚLĄSKIE TOWARZYSTWO CHARYTATYWNE,0000011334,
STOWARZYSZENIE NA RZECZ OSÓB Z KRYZYSAMI PSYCHICZNYMI "PRZYJAZNA DŁOŃ",0000011404,
ORATORIUM IM. ŚW. JANA BOSKO,0000011409,
POLSKIE STOWARZYSZENIE DIABETYKÓW ODDZIAŁ WOJEWÓDZKI W KIELCACH,0000011478,
KLUB SPORTOWY "GÓRNIK" BRZESZCZE,0000011590,
STOWARZYSZENIE NA RZECZ OSÓB POTRZEBUJĄCYCH "ŚWIATŁO I CIENIE",0000011595,
POLSKIE STOWARZYSZENIE DIABETYKÓW PODKARPACKI ODDZIAŁ WOJEWÓDZKI,0000011600,
STOWARZYSZENIE "BEZPIECZNE MIASTO" W ŻORACH,0000011673,
STOWARZYSZENIE OSÓB NIEPEŁNOSPRAWNYCH I INTEGRACJI ŚRODOWISKOWEJ "SZANSA",0000011682,
STOWARZYSZENIE MIŁOŚNIKÓW MUZYKI "CANTATA" W ELBLĄGU,0000011703,
STOWARZYSZENIE POMOCY DZIECIOM I MŁODZIEŻY NIEPEŁNOSPRAWNEJ W KONIECWAŁDZIE,0000011769,
OCHOTNICZA STRAŻ POŻARNA W KĘPNIE,0000011786,
STOWARZYSZENIE KATOLICKI RUCH ANTYNARKOTYCZNY " KARAN ",0000011861,
ŁOMŻYŃSKIE TOWARZYSTWO PRZYJACIÓŁ CHORYCH "HOSPICJUM" POD WEZWANIEM ŚWIĘTEGO DUCHA,0000012037,
SPOŁECZNE TOWARZYSTWO OŚWIATOWE,0000012189,
STOWARZYSZENIE NASZA SZKOŁA W MCHAWIE,0000012228,
STOWARZYSZENIE LOKALNE SALEZJAŃSKIEJ ORGANIZACJI SPORTOWEJ PRZY PARAFII ŚW. TERESY,0000012253,
STOWARZYSZENIE NA RZECZ WIEJSKICH DZIECI I OSÓB W PODESZŁYM WIEKU,0000012301,
BIELAŃSKIE STOWARZYSZENIE RODZIN OSÓB NIEPEŁNOSPRAWNYCH,0000012340,
STOWARZYSZENIE "BEZPIECZEŃSTWO DZIECKA",0000012365,
STOWARZYSZENIE "NASZE ZDROWIE" W STRZYŻOWIE,0000012432,
LIONS CLUB KROTOSZYN,0000012471,
RZESZOWSKIE STOWARZYSZENIE OCHRONY ZWIERZĄT W RZESZOWIE,0000012533,
LUBELSKIE FORUM ORGANIZACJI OSÓB NIEPEŁNOSPRAWNYCH - SEJMIK WOJEWÓDZKI,0000012639,
STOWARZYSZENIE "SZKOLNIAK",0000012657,
KŁODNICKIE TOWARZYSTWO SPORTOWE KTS "KŁODNICA" W KĘDZIERZYNIE KOŹLU,0000012674,
STOWARZYSZENIE WSPIERANIA EDUKACJI ARTYSTYCZNEJ DZIECI I MŁODZIEŻY "SUKCES",0000012703,
STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ,0000012774,
TRZEBIŃSKI RUCH SPOŁECZNY "NIEZALEŻNOŚĆ",0000012790,
ŚWIEBODZIŃSKIE TOWARZYSTWO OŚWIATOWE,0000012815,
POLSKI ZWIĄZEK NIEWIDOMYCH OKRĘG ŚLĄSKI,0000012847,
SAMODZIELNE KOŁO TERENOWE SPOŁECZNEGO TOWARZYSTWA OSWIATOWEGO NR 102,0000012875,
STOWARZYSZENIA ROZWOJU WSI SUMIN SUMÓWKO I OKOLIC,0000012958,
HOSPICJUM DOMOWE IM. KS. EUGENIUSZA DUTKIEWICZA SAC PRZY PARAFII ŚW. KATARZYNY W JASTRZĘBIU-ZDROJU,0000012970,
